path,energi0,homogenitas0,entropy0,contras0,dissimilarity0,ASM0,correlation0,energi45,homogenitas45,entropy45,contras45,dissimilarity45,ASM45,correlation45,energi90,homogenitas90,entropy90,contras90,dissimilarity90,ASM90,correlation90,energi135,homogenitas135,entropy135,contras135,dissimilarity135,ASM135,correlation135,labels
jenis_tanah/kurang subur\pasir-001.jpg,0.0001715303609329729,0.07241669184307413,13.145396621819932,272033401.0000287,2706800.999999809,0.0001715303609329729,0.7967477098132051,0.0001495472503671104,0.06262518813504087,13.315169952569656,272033400.9999735,2706801.0000000224,0.0001495472503671104,0.7287902354687119,0.00017305998118529055,0.07286614570772042,13.148820423675993,272033401.000026,2706800.999999409,0.00017305998118529055,0.7946129714528861,0.00013559588225464916,0.05560618383945079,13.419272990110374,272033400.99997294,2706801.0000000056,0.00013559588225464916,0.6906207489056317,kurang subur
jenis_tanah/kurang subur\pasir-002.jpg,0.00021354936590260647,0.07577924629948536,12.996588842777967,272033401.00002265,2706800.999999841,0.00021354936590260647,0.7893731405773444,0.00019567020766692289,0.07101742321857697,13.098142031421878,272033400.9999689,2706800.9999998254,0.00019567020766692289,0.7434481871241111,0.0002316486536651866,0.08376970818883282,12.925677830331857,272033401.0000173,2706800.999999973,0.0002316486536651866,0.8086955468943526,0.00017633983041460613,0.0636930430280153,13.204888212842434,272033401.00000584,2706800.9999999693,0.00017633983041460613,0.7114473734197226,kurang subur
jenis_tanah/kurang subur\pasir-003.jpg,0.00015435012156426802,0.06254106404176837,13.249179362101275,272033401.00001913,2706801.000000109,0.00015435012156426802,0.7195524721050127,0.0001387085793616601,0.05600903110512141,13.372475056538189,272033400.9999864,2706800.9999998817,0.0001387085793616601,0.6493540579759729,0.0001561251306986592,0.06383579040000775,13.247776876423034,272033401.0000286,2706801.000000283,0.0001561251306986592,0.7166649877530724,0.00012993729250654644,0.05190677757202296,13.446530146916126,272033400.999978,2706801.0000001327,0.00012993729250654644,0.6136928118518048,kurang subur
jenis_tanah/kurang subur\pasir-004.jpg,0.00024742881908789864,0.08408178222597168,12.882300601606238,272033400.99997663,2706801.0000001835,0.00024742881908789864,0.7798314927772221,0.00021325142892887283,0.07429442355880715,13.037225289681102,272033401.0000086,2706800.999999931,0.00021325142892887283,0.710613387351167,0.00025505685934927526,0.08621146262353342,12.855748665459885,272033400.99997646,2706800.9999998785,0.00025505685934927526,0.7864436633971684,0.0001939534298486342,0.0669920565183344,13.130684755371295,272033401.0000162,2706800.999999865,0.0001939534298486342,0.6807740140207696,kurang subur
jenis_tanah/kurang subur\pasir-005.jpg,0.00016694819674874134,0.06737204250004142,13.14080517217404,272033401.0000049,2706801.0000001597,0.00016694819674874134,0.768780966054182,0.0001478201514740805,0.05950729097336812,13.294387185865999,272033400.99997056,2706801.000000524,0.0001478201514740805,0.6983548616706446,0.0001672914183907751,0.0678096443856202,13.149341675714494,272033401.00001377,2706801.000000028,0.0001672914183907751,0.7619392036114059,0.000139337406024576,0.054925373207550594,13.361262199010591,272033400.9999813,2706800.9999996866,0.000139337406024576,0.668322212887723,kurang subur
jenis_tanah/kurang subur\pasir-006.jpg,0.00021469741749105377,0.07587299261431389,12.951325338909442,272033401.0000092,2706801.0000000517,0.00021469741749105377,0.789893534651281,0.00018881463627399474,0.06843490045996863,13.095046995917954,272033400.9999743,2706801.0000002035,0.00018881463627399474,0.7307310392330673,0.00021878687134192217,0.07832745486849532,12.941282438210356,272033401.000041,2706800.9999999423,0.00021878687134192217,0.7933111250015179,0.0001755462879023481,0.0627457346126101,13.163427531300814,272033400.99997896,2706800.9999998966,0.0001755462879023481,0.7051457672251557,kurang subur
jenis_tanah/kurang subur\pasir-007.jpg,0.0001708249404194032,0.07114874496212283,13.124787807237007,272033401.0000321,2706800.99999994,0.0001708249404194032,0.8219705294323286,0.00015145961761751686,0.0631264016698522,13.283584325506233,272033400.99997693,2706801.0000002333,0.00015145961761751686,0.7669094409543015,0.00016959494098411546,0.0710201513724555,13.141422546460634,272033401.0000363,2706800.999999399,0.00016959494098411546,0.8148331827034572,0.0001418422958808964,0.05636410354044426,13.353824351084562,272033400.9999716,2706801.000000131,0.0001418422958808964,0.7426618391488594,kurang subur
jenis_tanah/kurang subur\pasir-008.jpg,0.00019340261584548026,0.07467749107301372,13.015828474799418,272033401.0000108,2706800.9999998813,0.00019340261584548026,0.7912254728756857,0.00016833483185186202,0.06577915867119837,13.183539239343826,272033400.9999901,2706800.9999999865,0.00016833483185186202,0.7253351026944214,0.00019438103330691797,0.07555802311761176,13.024047001658849,272033401.0000046,2706800.9999999013,0.00019438103330691797,0.7904781467172095,0.00015842994057140478,0.06037848735022048,13.241086571700318,272033400.99998766,2706800.999999941,0.00015842994057140478,0.7060174873828747,kurang subur
jenis_tanah/kurang subur\pasir-009.jpg,0.00035294201998342125,0.08968232353269535,12.966041494344084,272033401.00002146,2706800.9999996563,0.00035294201998342125,0.826276414675894,0.000257625656692442,0.07012827662561417,13.241546288813831,272033400.9999796,2706801.000000195,0.000257625656692442,0.7390969713117967,0.000354359329253191,0.09020945336172503,12.970302130524528,272033401.00001997,2706801.000000081,0.000354359329253191,0.8263470768625933,0.0002897845286105564,0.07701265791476289,13.137817387085528,272033400.99999183,2706800.9999998044,0.0002897845286105564,0.7686175055510333,kurang subur
jenis_tanah/kurang subur\pasir-010.jpg,0.00035622356429047407,0.08954412779211594,12.964767339106048,272033401.00002044,2706801.000000218,0.00035622356429047407,0.8252521864873432,0.00025971276020819777,0.07012842607079717,13.23969665513707,272033400.99998695,2706801.0000009364,0.00025971276020819777,0.7370453636409713,0.00035903551104417676,0.09025477767811249,12.969568221713416,272033401.00002813,2706801.0000002068,0.00035903551104417676,0.8255517643386749,0.0002921503148908436,0.07748676997138963,13.136231653768462,272033400.9999896,2706801.000000109,0.0002921503148908436,0.7681203025939297,kurang subur
jenis_tanah/kurang subur\pasir-011.jpg,0.0003521791396035994,0.08930024323368667,12.966138826199238,272033401.0000264,2706800.999999995,0.0003521791396035994,0.8265484230147647,0.00029094232150875715,0.07697298339498176,13.138582434299188,272033400.99998814,2706800.999999987,0.00029094232150875715,0.7684399890467286,0.0003572721686719515,0.09020272776017205,12.970636949957575,272033401.0000286,2706801.000000012,0.0003572721686719515,0.8264301646610209,0.0002571763492360285,0.06997448853821031,13.241417414529161,272033400.9999888,2706801.0000000736,0.0002571763492360285,0.7379959856386017,kurang subur
jenis_tanah/kurang subur\pasir-012.jpg,0.0007238946397536172,0.10466343325393768,12.658386441811535,272033401.0000216,2706801.0000001495,0.0007238946397536172,0.8244042591883133,0.0005730633821802206,0.08931695410492671,12.862650232783823,272033400.99998313,2706801.0000000717,0.0005730633821802206,0.7578526233500914,0.0007869744186664383,0.11250003905358348,12.590739501766548,272033401.0000137,2706800.999999823,0.0007869744186664383,0.8382309225461603,0.0006429595703849687,0.09662424838312443,12.762679104091637,272033400.9999965,2706801.0000002016,0.0006429595703849687,0.7824233027813009,kurang subur
jenis_tanah/kurang subur\pasir-013.jpg,0.0007302486555044214,0.10478532016671672,12.656675647032593,272033401.0000318,2706801.0000000475,0.0007302486555044214,0.8235693686466415,0.0005781153706042064,0.08959370067864571,12.861707695695207,272033400.9999699,2706800.999999872,0.0005781153706042064,0.7589902576001423,0.0007964557423257346,0.1134810830163326,12.588091786809828,272033401.0000255,2706801.0000001546,0.0007964557423257346,0.8398911060194573,0.0006493986164587757,0.09712722856554347,12.7598063863008,272033400.9999754,2706800.999999888,0.0006493986164587757,0.784182429825286,kurang subur
jenis_tanah/kurang subur\pasir-014.jpg,0.0007234832500588469,0.10474006229244545,12.65674791719553,272033401.0000216,2706801.0000000875,0.0007234832500588469,0.8247186223645081,0.000643836844780176,0.09736592569410117,12.760004337161666,272033400.99996334,2706800.9999999553,0.000643836844780176,0.7839405031099922,0.0007892235086845132,0.11228242888099786,12.588018389386324,272033401.00001615,2706801.000000138,0.0007892235086845132,0.8405219359462189,0.0005728411952786389,0.08984291897821026,12.860324357972186,272033400.9999861,2706801.000000072,0.0005728411952786389,0.7599876816887801,kurang subur
jenis_tanah/kurang subur\pasir-015.jpg,0.00027942529230201747,0.07745882945468241,13.070749425831286,272033401.0000289,2706801.0000001825,0.00027942529230201747,0.7597425361447299,0.00021844836356935644,0.06362623602313926,13.268709356670694,272033400.99998736,2706801.000000119,0.00021844836356935644,0.6691566980652586,0.0002876632733298324,0.07891348791980621,13.068291907873762,272033401.00002784,2706801.0000001527,0.0002876632733298324,0.7587222891159857,0.00023950378850601,0.06867950628249969,13.196803095679423,272033400.9999883,2706800.999999874,0.00023950378850601,0.6991608342354272,kurang subur
jenis_tanah/kurang subur\pasir-016.jpg,0.000278527120479871,0.07729132955212176,13.075593210939974,272033401.00002456,2706801.0000001565,0.000278527120479871,0.758287002155112,0.0002379910006635039,0.06879752056907357,13.202498312806826,272033400.99996895,2706801.000000362,0.0002379910006635039,0.695898051828774,0.0002872147092570106,0.07870538234825822,13.074926849309257,272033401.00002694,2706800.9999998254,0.0002872147092570106,0.7568316279049198,0.00021849792712801063,0.06333422467020068,13.275242149501265,272033400.9999861,2706801.000000961,0.00021849792712801063,0.6670842207509791,kurang subur
jenis_tanah/kurang subur\pasir-017.jpg,0.0002777152005271404,0.07735275508128123,13.078054677626554,272033401.0000324,2706800.999999822,0.0002777152005271404,0.7576972132794703,0.00021668909171926044,0.06363127951858819,13.276727026345911,272033400.99998873,2706800.999999877,0.00021668909171926044,0.6652689348436931,0.00028549026895064816,0.07878960193122211,13.076912442993667,272033401.00002515,2706801.0000000983,0.00028549026895064816,0.7558291268413335,0.0002375400480726195,0.06863760472152688,13.203384282196748,272033400.9999702,2706801.0000003297,0.0002375400480726195,0.6960476418545094,kurang subur
jenis_tanah/kurang subur\pasir-018.jpg,0.00031689225295550224,0.07751635424581627,12.950553122701987,251016612.99999878,2548392.9999999353,0.00031689225295550224,0.6242800398938522,0.00023372097408468122,0.06353040924907118,13.110941445669415,251016613.0000093,2548392.999999896,0.00023372097408468122,0.5156285637821943,0.00034960615686298096,0.08435857994215713,12.823903239866441,251016613.00001577,2548392.9999998547,0.00034960615686298096,0.6661329662864885,0.00022579817292539653,0.0619818961088203,13.15505210387188,251016613.00000072,2548393.0000003027,0.00022579817292539653,0.5003163811306888,kurang subur
